Search Iteration,Database,Keywords/Strategy,Inclusion Criteria,Exclusion Criteria,Papers Found,Papers Selected,Theme,Tier,Date,Notes,Key Papers/Findings,DOI/ID,Venue
"A2-Seamful HCI",ACM DL/MuC,"""nudge haptic robot older adults usability CHI CSCW""","Pure HCI nudge for older adult interaction; Layer 3 friction/workload","PMC/medical, non-interface",23,1,Nudge HRI (A2),1,2026-02-16,"Haptic > touchscreen; older adult safety HCI","Audio nudges for voice interfaces; haptic feedback in SARs for cognitive tasks",10.1145/3706598.3713563,CHI 2025 / ACM DL
"A2-Seamful HCI (supplement)",,,"Friction mapping for cognitive overload","Non-peer-reviewed",,,"Friction Mapping (A2)",,2026-02-16,"Cognitive overload tools via EEG/biometrics","Cognitive overload control via friction mapping",No DOI (LinkedIn article),HCI Review
"A1-Hypernudge Risk",ACM DL/JMIR,"""chatbot older adults conversational agent usability CHI""","HCI chatbot older adult experience; cognition/privacy","Non-SIGCHI",18,1,Chatbot Experience (A1),1,2026-02-16,"Hypernudges erode autonomy via AI profiling; UTAUT for chatbot adoption","Low cognitive load in health bots; privacy moderated by trust",10.2196/39628; PMC7287711,"JMIR / repository.cam; PMC"
"A1-Hypernudge Risk",ACM DL/UbiComp,"""nudge ICT MCI seniors smartwatch CHI""","Nudge app for older adult behavior; real-time HCI","Before 2020",15,1,SENIOR Nudge (A1),1,2026-02-16,"SENIOR project: smartwatch nudges for lifestyle; 23 tech nudges review","Adaptive manipulation in wearables",PMC8178777; PMC10352952,CHI 2019 / PMC
"A2-Seamful HCI",ACM DL,"""chatbot acceptance older adults UTAUT HCI""","Usability model for older adult chatbot","Non-empirical",12,1,Chatbot Acceptance (A2),2,2026-02-16,"Seamful XAI exposes errors for trust; Extended UTAUT predictors (effort/social)","High SUS for problem-solving bots (MYLO RCT)",10.1145/3637396; PMC7287711,CHI 2024 / ACM / PMC
,,,,,,,,,,,,,
"B-Contestability",ACM DL/arXiv,"""contestability generative AI health CHI CSCW DIS""","HCI contestability in health AI; Layer 4 governance/audit","PMC, non-generative AI",22,1,Layer4 / B,1,2026-02-16,"Contestable XAI with CAS scale; bias audits","3-tier shared dependencies; explainability collaboration",arXiv:2501.19211; 10.1145/3706599.3721096,CHI/CSCW/DIS 2025 / ACM arXiv
"B-Contestability",ACM DL/arXiv,"""mental model genAI chatbot contestability CHI 2025""","GenAI chatbot mental model challenges; older adult health","Non-empirical",19,1,Layer4 / B,1,2026-02-16,"Mental models of chatbot ecosystems","User challenge ecosystems",arXiv:2501.19211,CHI 2025 / arXiv
"B-Contestability",ACM DL/CUI,"""conversational agent older adults social care contestability""","Older adult social care accountability","Non-HCI venue",16,1,Layer4 / B,1,2026-02-16,"Engagement/impact scoping for social care CAs","Older adult social care conversational agent accountability",,CUI / ACM
"B-Contestability",ACM DL/DIS,"""AI radiology accountability transparency bias CHI""","Medical AI accountability/traceability","Non-contestability",14,1,Layer4 / B,2,2026-02-16,"Clinician oversight framework for radiology AI","Bias audits in medical AI; clinician traceability",10.1145/3706599.3721096,DIS 2025 / ACM
